createStudent,2025-06-01T20:39:10.391105600
createTeacher,2025-06-01T20:39:10.423549600
createCourse,2025-06-01T20:39:10.452682500
updateTeacher,2025-06-01T20:39:10.454689
createCourseProgress,2025-06-01T20:39:10.685999900
updateCourseProgress,2025-06-01T20:39:10.718476500
deleteCourseProgress,2025-06-01T20:39:10.744465400
deleteTeacher,2025-06-01T20:39:10.774162700
deleteCourse,2025-06-01T20:39:10.802761300
deleteStudent,2025-06-01T20:39:10.805761400
